Team1,Team2,Rounds,Stadium,City,Day,Month,Year,Score1,Score2,Remarks
USA,Czech Republic,Group Phase,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,12,6,2006,0,3,
Italy,Ghana,Group Phase,"FIFA World Cup Stadium, Hanover",Hanover,12,6,2006,2,0,
Korea Republic,Togo,Group Phase,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,13,6,2006,2,1,
France,Switzerland,Group Phase,Gottlieb-Daimler-Stadion,Stuttgart,13,6,2006,0,0,
Brazil,Croatia,Group Phase,Olympiastadion,Berlin,13,6,2006,1,0,
Spain,Ukraine,Group Phase,Zentralstadion,Leipzig,14,6,2006,4,0,
Tunisia,Saudi Arabia,Group Phase,"FIFA World Cup Stadium, Munich",Munich,14,6,2006,2,2,
Germany,Poland,Group Phase,"FIFA World Cup Stadium, Dortmund",Dortmund,14,6,2006,1,0,
Ecuador,Costa Rica,Group Phase,"FIFA World Cup Stadium, Hamburg",Hamburg,15,6,2006,3,0,
England,Trinidad and Tobago,Group Phase,Franken-Stadion,Nuremberg,15,6,2006,2,0,
Sweden,Paraguay,Group Phase,Olympiastadion,Berlin,15,6,2006,1,0,
Argentina,Serbia and Montenegro,Group Phase,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,16,6,2006,6,0,
Netherlands,Côte d'Ivoire,Group Phase,Gottlieb-Daimler-Stadion,Stuttgart,16,6,2006,2,1,
Mexico,Angola,Group Phase,"FIFA World Cup Stadium, Hanover",Hanover,16,6,2006,0,0,
Portugal,IR Iran,Group Phase,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,17,6,2006,2,0,
Czech Republic,Ghana,Group Phase,"FIFA World Cup Stadium, Cologne",Cologne,17,6,2006,0,2,
Italy,USA,Group Phase,Fritz-Walter-Stadion,Kaiserslautern,17,6,2006,1,1,
Japan,Croatia,Group Phase,Franken-Stadion,Nuremberg,18,6,2006,0,0,
Brazil,Australia,Group Phase,"FIFA World Cup Stadium, Munich",Munich,18,6,2006,2,0,
France,Korea Republic,Group Phase,Zentralstadion,Leipzig,18,6,2006,1,1,
Togo,Switzerland,Group Phase,"FIFA World Cup Stadium, Dortmund",Dortmund,19,6,2006,0,2,
Saudi Arabia,Ukraine,Group Phase,"FIFA World Cup Stadium, Hamburg",Hamburg,19,6,2006,0,4,
Spain,Tunisia,Group Phase,Gottlieb-Daimler-Stadion,Stuttgart,19,6,2006,3,1,
Ecuador,Germany,Group Phase,Olympiastadion,Berlin,20,6,2006,0,3,
Costa Rica,Poland,Group Phase,"FIFA World Cup Stadium, Hanover",Hanover,20,6,2006,1,2,
Sweden,England,Group Phase,"FIFA World Cup Stadium, Cologne",Cologne,20,6,2006,2,2,
Paraguay,Trinidad and Tobago,Group Phase,Fritz-Walter-Stadion,Kaiserslautern,20,6,2006,2,0,
IR Iran,Angola,Group Phase,Zentralstadion,Leipzig,21,6,2006,1,1,
Portugal,Mexico,Group Phase,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,21,6,2006,2,1,
