Team1,Team2,Rounds,Year_com,Day,Month,Year,Score1,Score2,Ranking T1,Score T1,Ranking T2,Score T2,Winner
France,Korea Republic,Group Phase,2006-6-18,18,6,2006,1,1,8.0,749.0,29.0,677.0,0
Togo,Switzerland,Group Phase,2006-6-19,19,6,2006,0,2,61.0,569.0,35.0,648.0,2
Saudi Arabia,Ukraine,Group Phase,2006-6-19,19,6,2006,0,4,34.0,651.0,45.0,609.0,2
Spain,Tunisia,Group Phase,2006-6-19,19,6,2006,3,1,5.0,756.0,21.0,693.0,1
Ecuador,Germany,Group Phase,2006-6-20,20,6,2006,0,3,39.0,631.0,19.0,696.0,2
Costa Rica,Poland,Group Phase,2006-6-20,20,6,2006,1,2,26.0,683.0,29.0,677.0,2
Sweden,England,Group Phase,2006-6-20,20,6,2006,2,2,16.0,709.0,10.0,741.0,0
Paraguay,Trinidad and Tobago,Group Phase,2006-6-20,20,6,2006,2,0,33.0,653.0,47.0,604.0,1
IR Iran,Angola,Group Phase,2006-6-21,21,6,2006,1,1,23.0,686.0,57.0,581.0,0
Portugal,Mexico,Group Phase,2006-6-21,21,6,2006,2,1,7.0,750.0,4.0,758.0,1
Netherlands,Argentina,Group Phase,2006-6-21,21,6,2006,0,0,3.0,768.0,9.0,746.0,0
Côte dIvoire,Serbia and Montenegro,Group Phase,2006-6-21,21,6,2006,3,2,32.0,669.0,44.0,610.0,1
Czech Republic,Italy,Group Phase,2006-6-22,22,6,2006,0,2,2.0,772.0,13.0,728.0,2
Ghana,USA,Group Phase,2006-6-22,22,6,2006,2,1,48.0,600.0,5.0,756.0,1
Japan,Brazil,Group Phase,2006-6-22,22,6,2006,1,4,18.0,705.0,1.0,827.0,2
Croatia,Australia,Group Phase,2006-6-22,22,6,2006,2,2,23.0,686.0,42.0,612.0,0
Ukraine,Tunisia,Group Phase,2006-6-23,23,6,2006,1,0,45.0,609.0,21.0,693.0,1
Saudi Arabia,Spain,Group Phase,2006-6-23,23,6,2006,0,1,34.0,651.0,5.0,756.0,2
Togo,France,Group Phase,2006-6-23,23,6,2006,0,2,61.0,569.0,8.0,749.0,2
Switzerland,Korea Republic,Group Phase,2006-6-23,23,6,2006,2,0,35.0,648.0,29.0,677.0,1
Germany,Sweden,Round of 16,2006-6-24,24,6,2006,2,0,19.0,696.0,16.0,709.0,1
Argentina,Mexico,Round of 16,2006-6-24,24,6,2006,2,1,9.0,746.0,4.0,758.0,1
England,Ecuador,Round of 16,2006-6-25,25,6,2006,1,0,10.0,741.0,39.0,631.0,1
Portugal,Netherlands,Round of 16,2006-6-25,25,6,2006,1,0,7.0,750.0,3.0,768.0,1
Italy,Australia,Round of 16,2006-6-26,26,6,2006,1,0,13.0,728.0,42.0,612.0,1
Switzerland,Ukraine,Round of 16,2006-6-26,26,6,2006,0,0,35.0,648.0,45.0,609.0,0
Brazil,Ghana,Round of 16,2006-6-27,27,6,2006,3,0,1.0,827.0,48.0,600.0,1
Spain,France,Round of 16,2006-6-27,27,6,2006,1,3,5.0,756.0,8.0,749.0,2
Germany,Argentina,Quarter Finals,2006-6-30,30,6,2006,1,1,19.0,696.0,9.0,746.0,0
Italy,Ukraine,Quarter Finals,2006-6-30,30,6,2006,3,0,13.0,728.0,45.0,609.0,1
England,Portugal,Quarter Finals,2006-7-1,1,7,2006,0,0,10.0,741.0,7.0,750.0,0
Brazil,France,Quarter Finals,2006-7-1,1,7,2006,0,1,1.0,827.0,8.0,749.0,2
Germany,Italy,Semi Finals,2006-7-4,4,7,2006,0,2,19.0,696.0,13.0,728.0,2
Portugal,France,Semi Finals,2006-7-5,5,7,2006,0,1,7.0,750.0,8.0,749.0,2
Germany,Portugal,Play-off for third place,2006-7-8,8,7,2006,3,1,19.0,696.0,7.0,750.0,1
Italy,France,Finals,2006-7-9,9,7,2006,1,1,13.0,728.0,8.0,749.0,0
France,Senegal,Group Phase,2002-5-31,31,5,2002,0,1,1.0,802.0,42.0,599.0,2
Uruguay,Denmark,Group Phase,2002-6-1,1,6,2002,1,2,24.0,652.0,20.0,657.0,2
Republic of Ireland,Cameroon,Group Phase,2002-6-1,1,6,2002,1,1,15.0,674.0,17.0,672.0,0
Germany,Saudi Arabia,Group Phase,2002-6-1,1,6,2002,8,0,11.0,695.0,34.0,627.0,1
Argentina,Nigeria,Group Phase,2002-6-2,2,6,2002,1,0,3.0,784.0,27.0,644.0,1
